,Fever,Firebirds,GIANTS,Lightning,Magpies,Swifts,Thunderbirds,Vixens
Team 0% / Opp. 0%,"0.25 [0.06, 0.45]","-0.51 [-0.70, -0.32]","-0.10 [-0.29, 0.09]","-0.01 [-0.20, 0.19]","0.13 [-0.07, 0.32]","-0.01 [-0.21, 0.18]","0.13 [-0.06, 0.33]","0.12 [-0.07, 0.31]"
Team 0% / Opp. 25%,"0.21 [0.00, 0.41]","-0.29 [-0.50, -0.09]","0.33 [0.12, 0.54]","0.27 [0.06, 0.49]","0.46 [0.24, 0.67]","0.25 [0.04, 0.47]","0.31 [0.10, 0.53]","0.54 [0.32, 0.76]"
Team 0% / Opp. 50%,"0.19 [-0.03, 0.40]","-0.02 [-0.25, 0.20]","0.71 [0.47, 0.94]","0.56 [0.33, 0.79]","0.78 [0.54, 1.01]","0.49 [0.26, 0.73]","0.51 [0.27, 0.74]","0.97 [0.73, 1.21]"
Team 0% / Opp. 75%,"0.07 [-0.16, 0.30]","0.13 [-0.11, 0.36]","1.10 [0.86, 1.35]","0.77 [0.53, 1.01]","1.04 [0.80, 1.28]","0.75 [0.51, 0.99]","0.70 [0.46, 0.94]","1.37 [1.12, 1.62]"
Team 0% / Opp. 100%,"-0.06 [-0.30, 0.19]","0.28 [0.03, 0.52]","1.49 [1.22, 1.75]","1.02 [0.76, 1.27]","1.31 [1.05, 1.57]","0.95 [0.69, 1.20]","0.75 [0.50, 1.01]","1.64 [1.38, 1.90]"
Team 25% / Opp. 0%,"-0.04 [-0.26, 0.18]","-0.77 [-0.98, -0.56]","-0.33 [-0.54, -0.12]","-0.27 [-0.48, -0.05]","-0.13 [-0.34, 0.09]","-0.28 [-0.49, -0.07]","-0.14 [-0.35, 0.07]","-0.12 [-0.33, 0.09]"
Team 25% / Opp. 25%,"-0.09 [-0.31, 0.14]","-0.55 [-0.77, -0.32]","0.10 [-0.13, 0.33]","0.02 [-0.21, 0.25]","0.20 [-0.03, 0.43]","-0.01 [-0.24, 0.22]","0.03 [-0.19, 0.26]","0.30 [0.07, 0.53]"
Team 25% / Opp. 50%,"-0.11 [-0.35, 0.13]","-0.28 [-0.52, -0.04]","0.48 [0.22, 0.73]","0.30 [0.05, 0.55]","0.52 [0.27, 0.77]","0.23 [-0.02, 0.48]","0.23 [-0.02, 0.48]","0.73 [0.47, 0.98]"
Team 25% / Opp. 75%,"-0.22 [-0.47, 0.03]","-0.13 [-0.38, 0.12]","0.87 [0.61, 1.13]","0.51 [0.26, 0.77]","0.79 [0.53, 1.05]","0.49 [0.23, 0.74]","0.42 [0.17, 0.67]","1.13 [0.87, 1.39]"
Team 25% / Opp. 100%,"-0.35 [-0.62, -0.09]","0.02 [-0.24, 0.28]","1.25 [0.98, 1.53]","0.76 [0.49, 1.03]","1.05 [0.78, 1.33]","0.68 [0.41, 0.95]","0.48 [0.21, 0.74]","1.40 [1.12, 1.67]"
Team 50% / Opp. 0%,"-0.34 [-0.58, -0.10]","-1.04 [-1.27, -0.80]","-0.57 [-0.81, -0.34]","-0.52 [-0.75, -0.29]","-0.37 [-0.60, -0.14]","-0.54 [-0.77, -0.31]","-0.42 [-0.65, -0.19]","-0.37 [-0.60, -0.15]"
Team 50% / Opp. 25%,"-0.38 [-0.63, -0.13]","-0.81 [-1.06, -0.57]","-0.15 [-0.40, 0.10]","-0.24 [-0.49, 0.01]","-0.05 [-0.30, 0.20]","-0.28 [-0.52, -0.03]","-0.24 [-0.49, 0.01]","0.05 [-0.20, 0.29]"
Team 50% / Opp. 50%,"-0.40 [-0.67, -0.14]","-0.54 [-0.81, -0.28]","0.23 [-0.04, 0.50]","0.05 [-0.22, 0.31]","0.27 [0.00, 0.54]","-0.03 [-0.30, 0.23]","-0.05 [-0.31, 0.22]","0.48 [0.21, 0.75]"
Team 50% / Opp. 75%,"-0.52 [-0.78, -0.26]","-0.40 [-0.66, -0.13]","0.63 [0.35, 0.91]","0.26 [-0.01, 0.53]","0.54 [0.27, 0.81]","0.22 [-0.05, 0.49]","0.15 [-0.12, 0.41]","0.88 [0.60, 1.15]"
Team 50% / Opp. 100%,"-0.65 [-0.93, -0.37]","-0.24 [-0.52, 0.03]","1.01 [0.72, 1.30]","0.51 [0.22, 0.79]","0.81 [0.52, 1.10]","0.42 [0.13, 0.71]","0.20 [-0.08, 0.48]","1.15 [0.86, 1.44]"
Team 75% / Opp. 0%,"-0.62 [-0.86, -0.38]","-1.26 [-1.50, -1.03]","-0.77 [-1.01, -0.53]","-0.75 [-0.99, -0.50]","-0.59 [-0.83, -0.35]","-0.75 [-0.99, -0.51]","-0.63 [-0.87, -0.39]","-0.55 [-0.79, -0.31]"
Team 75% / Opp. 25%,"-0.66 [-0.92, -0.41]","-1.04 [-1.29, -0.79]","-0.34 [-0.60, -0.09]","-0.46 [-0.72, -0.21]","-0.27 [-0.52, -0.01]","-0.49 [-0.75, -0.23]","-0.46 [-0.71, -0.20]","-0.13 [-0.39, 0.13]"
Team 75% / Opp. 50%,"-0.69 [-0.95, -0.42]","-0.77 [-1.04, -0.51]","0.04 [-0.24, 0.31]","-0.18 [-0.45, 0.09]","0.05 [-0.22, 0.33]","-0.25 [-0.52, 0.03]","-0.26 [-0.54, 0.01]","0.30 [0.02, 0.58]"
