team,period,mean,lower95,upper95
Firebirds,all,4.28077809874403,3.3310249789560977,5.375794934961429
Firebirds,standard,4.256884724041885,2.716170961232194,6.049500237311148
Firebirds,super,5.3790572553847005,3.314499182582168,8.353171993598401
Lightning,all,3.827042621869273,3.094758920255914,4.653659947456222
Lightning,standard,3.0216218604190748,1.8648176598408654,4.319875661322836
Lightning,super,6.561861749045258,4.100909287466473,10.09135576256994
Thunderbirds,all,4.108394080646091,3.338852507109714,4.977496939840459
Thunderbirds,standard,3.6168562149923074,2.6120499933896997,4.753870991249427
Thunderbirds,super,5.3268014036954545,3.614129205221193,7.632510379072478
Fever,all,3.459567770398276,2.7996012973244286,4.212619620486892
Fever,standard,2.880205637973466,1.5582720447569285,4.433370620231654
Fever,super,2.9490635588043133,2.0750761597716854,4.093584840572402
GIANTS,all,5.265054572713462,4.191234718769548,6.506918310903905
GIANTS,standard,3.514478641115796,1.7135300720247473,5.645706688819479
GIANTS,super,7.128503125474979,4.592875067590963,10.688590869938968
Swifts,all,3.788812209852471,2.965209250315004,4.739783504599978
Swifts,standard,3.6847640421418832,2.1485745674160994,5.482136553387524
Swifts,super,3.7253438526868146,2.5321632137966428,5.296156052314174
Vixens,all,5.342461816038025,4.229022259080148,6.639960216376467
Vixens,standard,7.237585001582495,4.944631149268855,9.796387137301426
Vixens,super,4.705381636921476,3.156860040204007,6.8319997876681295
Magpies,all,4.422490102122597,3.538339750188683,5.43075259731875
Magpies,standard,5.212275971594377,3.7187711802303216,6.84618316859408
Magpies,super,5.134835791359914,3.5079873308683456,7.26182093212133
